term,estimate,std_error,t_value,pr(>|t|),25pct,975pct,model,outcome,n,pct_change
mzone,0.2023720181624156,0.04396825936392821,4.602684324784589,4.170801535696711e-06,0.1161958133462003,0.2885482229786309,ppml_dobviol_bis,DOB violations 2020-26 (BIS only),765287,22.43033864976749
multi_bldg,0.050777284000667944,0.01903956737013679,2.6669347582083813,0.007654652983979382,0.013460417673975836,0.08809415032736005,ppml_dobviol_bis,DOB violations 2020-26 (BIS only),765287,5.208855023534809
log2_area_per_unit,0.2657491495893465,0.02003744019672551,13.262629706202432,0.0,0.2264764884613893,0.30502181071730367,ppml_dobviol_bis,DOB violations 2020-26 (BIS only),765287,30.44078064090625
value_rank,-0.17808721133154867,0.0359528102017225,-4.953359983054023,7.294285044867621e-07,-0.248553424469929,-0.10762099819316832,ppml_dobviol_bis,DOB violations 2020-26 (BIS only),765287,-16.313056419169126
any_prior_viol,1.66243967189868,0.018748398434036105,88.67102316753967,0.0,1.6256934862001622,1.6991858575971979,ppml_dobviol_bis,DOB violations 2020-26 (BIS only),765287,427.21575017630016
llc,2.9059640034799963,0.21803785477235096,13.327795792680387,0.0,2.4783819936067926,3.3335460133532,lpm_any_dobviol,any DOB violation (pp),766400,1728.2859900350911
corp_other,2.504063467510894,0.3261928208324013,7.676635742996588,2.4424906541753444e-14,1.86438471960104,3.143742215420748,lpm_any_dobviol,any DOB violation (pp),766400,1123.2097842742028
trust_estate,-0.767336206490023,0.11453257405562925,-6.699720257027687,2.6448399026435254e-11,-0.991939719773477,-0.542732693206569,lpm_any_dobviol,any DOB violation (pp),766400,-53.575191629966554
nycha,8.659225478006093,1.5081792250576094,5.7415095859547645,1.0684694906615277e-08,5.701618391968486,11.6168325640437,lpm_any_dobviol,any DOB violation (pp),766400,576206.9309536382
govt,8.535044540021378,2.124516498697563,4.017405628647174,6.08224242195643e-05,4.368772424244354,12.7013166557984,lpm_any_dobviol,any DOB violation (pp),766400,508905.81814594805
owner_occ_star,-1.0465567400411122,0.14779694499708862,-7.081044469909225,1.9180212973424204e-12,-1.336393176291852,-0.7567203037903726,lpm_any_dobviol,any DOB violation (pp),766400,-64.88552474284073
is_coop,4.98527257282079,0.8027054241374624,6.210587873101338,6.294651466731693e-10,3.411131243338483,6.559413902303097,lpm_any_dobviol,any DOB violation (pp),766400,14524.343157867137
is_condo,6.600565461180244,0.6792933559584519,9.716811453082958,0.0,5.268440731107636,7.932690191252852,lpm_any_dobviol,any DOB violation (pp),766400,73451.09745794281
era_pre1940,4.416175454647363,0.28419593996892833,15.539192625799622,0.0,3.8588544732214896,4.973496436073237,lpm_any_dobviol,any DOB violation (pp),766400,8177.908680312766
era_4079,3.8006189578688647,0.28786565787686147,13.20275223484502,0.0,3.2361014950779543,4.365136420659775,lpm_any_dobviol,any DOB violation (pp),766400,4372.8861207667
era_8099,1.7599222183022931,0.3413236174421037,5.156168891831273,2.746216869464746e-07,1.0905712997864954,2.429273136818091,lpm_any_dobviol,any DOB violation (pp),766400,481.19853107363826
era_unknown,5.021137072260438,2.2994500915213227,2.183625159239025,0.029095305236122693,0.5118123370563001,9.530461807464576,lpm_any_dobviol,any DOB violation (pp),766400,15058.356730698431
mixed_use,20.17894151138306,0.3504133291707225,57.58611283177477,0.0,19.491765260591134,20.866117762174984,lpm_any_dobviol,any DOB violation (pp),766400,58023369899.927284
mzone,3.1012974695202837,0.6575362894334957,4.716541914655729,2.549543859364789e-06,1.8118393224747318,4.390755616565835,lpm_any_dobviol,any DOB violation (pp),766400,2122.6771139042444
multi_bldg,2.7100862463231,0.15587211895599626,17.386600403425422,0.0,2.404414031853801,3.0157584607923993,lpm_any_dobviol,any DOB violation (pp),766400,1403.057179052612
log2_area_per_unit,3.3139659132045733,0.22911463553554298,14.464226196019117,0.0,2.864661839579662,3.7632699868294845,lpm_any_dobviol,any DOB violation (pp),766400,2649.3948150635947
value_rank,-2.923898322314381,0.4630841847747778,-6.313967132642257,3.281173110991631e-10,-3.832027173028071,-2.0157694716006906,lpm_any_dobviol,any DOB violation (pp),766400,-94.62761543154716
any_prior_viol,10.17740664973654,0.21073821912403506,48.29407163086247,0.0,9.76413955268023,10.590673746792849,lpm_any_dobviol,any DOB violation (pp),766400,2630116.8039665213
llc,0.6111758952228279,0.022522275502563176,27.13650737259085,0.0,0.5670330463879153,0.6553187440577405,ppml_ecb_owner,ECB citations 2020-26,766376,84.2596826179757
corp_other,0.3374591347521815,0.027501939550723276,12.270375844939512,0.0,0.2835563237277662,0.3913619457765968,ppml_ecb_owner,ECB citations 2020-26,766376,40.13823393852376
trust_estate,-0.3906720115130832,0.054117303835762215,-7.218985127173248,5.238032230181489e-13,-0.4967399779715885,-0.28460404505457787,ppml_ecb_owner,ECB citations 2020-26,766376,-32.33979626714859
nycha,0.23627206513301274,0.07706634306463421,3.0658268673116544,0.002170689679117599,0.08522480830612147,0.38731932195990404,ppml_ecb_owner,ECB citations 2020-26,766376,26.65188389139972
govt,0.7121003732070523,0.109783879931075,6.486383735518606,8.792100381072032e-11,0.4969279224590757,0.927272823955029,ppml_ecb_owner,ECB citations 2020-26,766376,103.82678890775571
owner_occ_star,-0.013224211765481208,0.023832359532604545,-0.5548847040256104,0.5789735249023917,-0.05993477811599596,0.033486354585033545,ppml_ecb_owner,ECB citations 2020-26,766376,-1.3137156047346332
is_coop,-0.08255996638286543,0.046388131847277726,-1.7797648470663825,0.07511445283513862,-0.17347903411362528,0.008359101347894415,ppml_ecb_owner,ECB citations 2020-26,766376,-7.924377821885409
is_condo,-0.13260483753631286,0.03902045557648196,-3.39834160255769,0.0006779570918253874,-0.20908352512656264,-0.05612614994606309,ppml_ecb_owner,ECB citations 2020-26,766376,-12.41888885861412
era_pre1940,-0.3307610898485328,0.026611994641582946,-12.42902286368634,0.0,-0.3829196409028083,-0.27860253879425734,ppml_ecb_owner,ECB citations 2020-26,766376,-28.162322395519823
era_4079,-0.3599446108847905,0.030896632082887312,-11.649962685873218,0.0,-0.42050089701083443,-0.2993883247587466,ppml_ecb_owner,ECB citations 2020-26,766376,-30.22850291843261
era_8099,-0.6860015327414711,0.043921118533724504,-15.61894495502727,0.0,-0.7720853432282858,-0.5999177222546564,ppml_ecb_owner,ECB citations 2020-26,766376,-49.64143805607832
era_unknown,0.5605252731141588,0.09976392665182782,5.618516551281807,1.9260394834574868e-08,0.3649915699202806,0.756058976308037,ppml_ecb_owner,ECB citations 2020-26,766376,75.15923230501357
mixed_use,0.3312635416370314,0.01859978758776969,17.8100712211818,0.0,0.2948086278449077,0.36771845542915516,ppml_ecb_owner,ECB citations 2020-26,766376,39.27267854440577
mzone,-0.0016812498993081608,0.06179519668485269,-0.027206805536720148,0.9782947876833494,-0.12279760981918841,0.11943511002057208,ppml_ecb_owner,ECB citations 2020-26,766376,-0.16798373904005626
multi_bldg,0.13544843401386542,0.01835123974900644,7.3808873877961725,1.5720758028692217e-13,0.09948066503415293,0.1714162029935779,ppml_ecb_owner,ECB citations 2020-26,766376,14.505014867194642
log2_area_per_unit,0.41611552919133843,0.016776499110981218,24.803478153494254,0.0,0.383234195147147,0.44899686323552984,ppml_ecb_owner,ECB citations 2020-26,766376,51.606100805581036
value_rank,-0.20088273633493578,0.04068100263626569,-4.937998655811297,7.892838664869117e-07,-0.2806160363569955,-0.12114943631287603,ppml_ecb_owner,ECB citations 2020-26,766376,-18.199165141303354
any_prior_viol,0.798019015075294,0.020524720836489756,38.88087060636365,0.0,0.7577913014430353,0.8382467287075528,ppml_ecb_owner,ECB citations 2020-26,766376,122.11365294282311
geo_nyc_other,0.08965444759823415,0.017354211171617326,5.16614939807021,2.389658095847125e-07,0.055640818721761534,0.12366807647470678,ppml_ecb_owner,ECB citations 2020-26,766376,9.379625447174188
