word,z,n_strict,n_lenient
repair bldg,1.9825941516427719,57,0
dob system,1.9825941516427719,57,0
damaged facade,1.9825941516427719,57,0
removed active,1.9825941516427719,57,0
dot permit,1.9869989312486016,145,66
action necessary,1.9905988476593148,1656,934
obtained rectify,2.0170789580640998,59,0
observed progress,2.0337761873219224,68,26
unpermitted use,2.034102194536967,60,0
stable condition,2.050984181176027,61,0
front premise,2.0602722040074504,41,13
fence exceed,2.0677283776909534,62,0
use building,2.077732930824687,52,18
nys lic,2.0843381048293264,63,0
observed atoi,2.08758894748716,50,17
light fixture,2.11146211355608,46,15
adequate housekeeping,2.1126551646461724,113,48
observed failure,2.1171667847621034,65,0
pvo posted,2.1258055679070003,44,14
ownr rtain,2.1333917508097513,66,0
utility room,2.165477124068517,68,0
parapet information,2.1723365475805005,68,25
room located,2.1813428935826806,69,0
access new,2.197094131522492,70,0
pswo issued,2.197552305547199,60,21
partial stop work order,2.2073482521988366,140,61
summon observed,2.2127332837524056,71,0
stopping provided,2.2127332837524056,71,0
gained however,2.2282627103081842,72,0
partial access,2.2282627103081842,72,0
unable determine,2.231817025546447,125,53
feet height,2.2415240432599974,41,12
access verify,2.2449396102002157,67,24
action warranted,2.251614128470863,65,23
observed violating,2.255956710596518,367,183
retain nyspe,2.2590014220911026,74,0
ownr retn,2.274215034412275,75,0
nyspe eval,2.274215034412275,75,0
disrepair condition,2.28932758236056,76,0
atoi observed,2.2962770308322167,399,200
parked front,2.2986638238179684,55,18
alteration work,2.300758011754351,44,13
gas dryer,2.3192573745056815,78,0
ent bldg,2.3192573745056815,78,0
access building,2.3256132925956083,51,16
inspection illegal,2.346577655919952,60,20
ongoing work,2.346577655919952,60,20
remedy fix,2.3488059508063657,80,0
building repair,2.3488059508063657,80,0
served ecb,2.3634417584385794,81,0
observed fence,2.3778835797158653,45,13
second floor,2.3830840371745756,126,52
adjacent building,2.395905248254796,86,32
good condition,2.404544258097976,63,21
contained summon,2.4211007286511244,85,0
condition violation,2.433548843880217,48,14
recorded summon,2.4353022571466627,86,0
dob reg,2.4353022571466627,86,0
permit construction,2.453579742521998,46,13
gain access,2.458634477457511,278,131
wrote violation,2.4634598131673524,88,0
code maintain,2.4755895317519014,44,12
fence exp,2.488144498739743,51,15
order issued,2.494220403714935,144,60
inspection visible,2.496110921191472,60,19
property exposure,2.4997366080120713,42,11
site construction,2.5069713456751344,71,24
permit action,2.5261621339918543,40,10
rtain nyspe,2.546065507137327,94,0
prmt file,2.546065507137327,94,0
served unlawful,2.5730117131994032,96,0
license plate,2.5784425062846474,59,18
hole penetration,2.586379587263331,97,0
repair replace,2.586379587263331,97,0
safety meeting,2.6302358013858123,53,15
occupancy observed,2.649484122210618,44,11
final inspection,2.649484122210618,44,11
code provide,2.649484122210618,44,11
feu repair,2.678087838463443,104,0
ownr immed,2.678087838463443,104,0
story house,2.6958052009700775,74,24
entire site,2.7955774109814007,69,21
observed rear,2.8073525683332137,112,41
floor window,2.8102493842838276,67,20
inspection access,2.822196146196309,149,59
parapet wall,2.822631396440348,147,58
access class,2.852677344405434,118,0
residential building,2.9256295139801534,80,25
violation observed,2.945476725329309,102,35
fence exposure,2.988891486963514,63,17
jersey barrier,2.9896158637118275,44,9
maintained code,2.9896158637118275,44,9
immed comply,3.0057340341250853,131,0
retaining wall,3.0084127340339024,149,57
place unsafe,3.0568309911831735,45,9
rca past,3.0625670519878443,136,0
observed temporary,3.0868062538130694,43,8
illegally parked,3.0868062538130694,43,8
required code,3.0868062538130694,43,8
site padlocked,3.09362655212434,48,10
code specification,3.0940379711458372,60,15
fence per,3.096643396452608,94,30
front entry,3.113144368197659,81,24
issued appointment,3.1294053795267396,142,0
immediately comply,3.1294053795267396,142,0
permit obtain,3.1304930774525985,51,11
building construction,3.1308793007048186,99,32
determine transient,3.140683275812774,97,31
occupancy building,3.152187682593529,44,8
