term,estimate,std_error,t_value,pr(>|t|),25pct,975pct,model,outcome,scale,sample,n,label
corp_other,0.28094550422881,0.02380200695476917,11.80343761610898,0.0,0.2342944278376905,0.32759658061992947,tract_ppml_nviol,violation count,log,universe,766248,Corporate/org owner (vs individual)
trust_estate,-0.3503181640996344,0.03339854317184199,-10.48902529362372,0.0,-0.41577810585255087,-0.2848582223467179,tract_ppml_nviol,violation count,log,universe,766248,Trust/estate owner (vs individual)
nycha,-0.6581228722932336,0.10249701053079253,-6.420898218251136,1.3547252208923055e-10,-0.8590133214566097,-0.45723242312985757,tract_ppml_nviol,violation count,log,universe,766248,NYCHA
govt,0.5406061504240648,0.08785300251087923,6.153530727161193,7.577669602909509e-10,0.36841742956903456,0.712794871279095,tract_ppml_nviol,violation count,log,universe,766248,Other government owner
owner_occ_star,-0.07209071635856634,0.019598191829965615,-3.678437122364509,0.00023466752580292294,-0.11050246650740608,-0.033678966209726595,tract_ppml_nviol,violation count,log,universe,766248,Owner-occupied (STAR)
is_coop,-0.2916866109098707,0.04545051144925008,-6.4176749965854,1.3837131440652684e-10,-0.38076797642932625,-0.20260524539041513,tract_ppml_nviol,violation count,log,universe,766248,Co-op building
is_condo,-0.5265121337353601,0.038173203310830676,-13.792715519527167,0.0,-0.6013302373991134,-0.4516940300716068,tract_ppml_nviol,violation count,log,universe,766248,Condominium
era_pre1940,-0.032023397439646294,0.024930589444301744,-1.284502218095999,0.1989662879776346,-0.08088645486383217,0.016839659984539575,tract_ppml_nviol,violation count,log,universe,766248,Built before 1940 (vs 2000+)
era_4079,-0.10936807906692511,0.030288587184079514,-3.610867631502201,0.00030517439334643015,-0.16873261909032242,-0.0500035390435278,tract_ppml_nviol,violation count,log,universe,766248,Built 1940-1979 (vs 2000+)
era_8099,-0.4094967965295269,0.04523831694343182,-9.051990087110923,0.0,-0.4981622684598614,-0.32083132459919245,tract_ppml_nviol,violation count,log,universe,766248,Built 1980-1999 (vs 2000+)
era_unknown,0.5522794685037818,0.11617528025280144,4.753846664299002,1.9958242822859518e-06,0.32458010331444365,0.77997883369312,tract_ppml_nviol,violation count,log,universe,766248,Construction year unknown
mzone,-0.03074548554394209,0.05562908544524046,-0.5526872372224596,0.5804775942015692,-0.1397764895095147,0.07828551842163055,tract_ppml_nviol,violation count,log,universe,766248,Manufacturing zoning
