word,z,n_asian,n_white
pick,0.6697967051405731,43,11
done,0.6776748095036297,594,180
everyday,0.6807088220562134,74,20
completed,0.6827146169551445,57,15
shower,0.6914093307314974,151,43
smell,0.6984324477957939,118,33
moving,0.7013051576246905,98,27
residence,0.7024052960166225,428,128
evening,0.7056953936120095,47,12
regular,0.7056953936120095,47,12
add,0.7056953936120095,47,12
separated,0.7102060420877649,33,8
afraid,0.7102060420877649,33,8
these,0.7178188635889332,364,108
neighborhood,0.7249188255460954,257,75
hazardou,0.7249361441616292,85,23
happening,0.7284430979517096,112,31
suspected,0.7440075742568922,37,9
fixing,0.7440075742568922,37,9
full,0.7498726567353885,375,111
using,0.769473973796371,560,168
private,0.7789479492947738,441,131
carbon,0.7879719002150402,34,8
quarter,0.7879719002150402,34,8
vehicle,0.8026426407260415,276,80
calling,0.8040073965602789,59,15
new,0.8117287453972429,491,146
late,0.8119463113692442,73,19
point,0.8176308739863819,38,9
converting,0.8268473169164836,211,60
bed,0.8277817732960999,121,33
zoned,0.8341105557740265,56,14
noisy,0.8375981129251883,49,12
sold,0.8413821182632015,77,20
occupying,0.8471798970716223,84,22
addressed,0.8638533369756815,35,8
plu,0.8666199844343968,53,13
van,0.8703291661475305,122,33
mother,0.8745651104865536,46,11
car,0.9033035714407358,712,213
turn,0.9149247124965441,106,28
writing,0.9151936818414514,43,10
warehouse,0.9379351634648391,36,8
south,0.9379351634648391,36,8
good,0.9403670297662312,47,11
convert,0.9474074190314711,86,22
send,0.965131057328841,51,12
proper,0.9717446228800382,155,42
legally,0.9742696405456492,69,17
residing,0.9760198365205454,97,25
refrigerator,0.9825751150803146,44,10
aware,0.9825751150803146,44,10
appliance,0.992430514284466,33,7
amount,0.9982017059932976,94,24
inthe,0.9994011459092015,73,18
include,0.9994011459092015,73,18
total,1.0045193062285045,66,16
either,1.0050101651860177,48,11
shop,1.007633614627137,183,50
familyhouse,1.0102968709313742,37,8
inspect,1.0119242348266482,173,47
extremely,1.0273428979356256,52,12
zone,1.0273428979356256,52,12
several,1.0496637911139821,238,66
ten,1.0666990929621567,34,7
condition,1.0777746630769556,259,72
trash,1.082480146281067,71,17
five,1.0928789665837473,110,28
furniture,1.108642790602212,57,13
blocked,1.108642790602212,57,13
half,1.1148317749383732,100,25
really,1.139111928213103,35,7
familyhome,1.1486642687801314,65,15
rain,1.1501537217696842,39,8
everyone,1.1501537217696842,39,8
fire,1.153630028506511,664,194
currently,1.159853707225785,342,96
women,1.1630473115907582,43,9
those,1.166921420888017,58,13
started,1.16911532780331,87,21
occupancy,1.1856824583665921,538,155
reason,1.1923594817852061,51,11
turning,1.2035094423299968,66,15
delivery,1.2081293689222585,55,12
illegallyconverted,1.2081293689222585,55,12
complete,1.2177847677802234,40,8
there',1.2209562238348415,321,89
safety,1.2386902074208217,415,117
crowded,1.239782719321823,48,10
maybe,1.239782719321823,48,10
woman,1.2409038350523485,63,14
parking,1.2460832383045353,332,92
community,1.2502686141595545,103,25
cooking,1.261435564745457,128,32
alteration,1.261807761322813,187,49
exiting,1.2787123373713336,37,7
oil,1.2839681552550384,41,8
create,1.285063966007499,118,29
concrete,1.291680083962145,45,9
hazard,1.2932630590520584,374,104
recently,1.3042166245528675,122,30
changed,1.319306965117797,140,35
part,1.320674375477279,133,33
possibly,1.342389024538344,87,20
altering,1.3541537301004842,46,9
situation,1.3560549136763485,155,39
child,1.3760538387842105,95,22
interior,1.411861116321497,39,7
connection,1.411861116321497,39,7
auto,1.4585177229975466,115,27
individual,1.45980300930331,262,69
exit,1.4712800046419132,334,90
hole,1.4819072806217175,36,6
entrance,1.4911626960656663,533,149
big,1.4913535513723444,79,17
risk,1.4973299404563132,94,21
food,1.513855055768595,212,54
inspected,1.529006962157731,76,16
repair,1.5291418589029424,188,47
housing,1.5343549533645071,167,41
happen,1.5458239529559,61,12
mechanic,1.5688699259629397,73,15
attention,1.600676077769208,42,7
