word,z,n_asian,n_white
family dwelling,2.879220155216162,180,33
additional room,3.0041624291021614,73,7
multiple family,3.130516547323919,117,16
multiple room,3.15602879730198,100,12
renting room,3.190191387967616,101,12
people live,3.337943843490784,175,28
single family,3.5705345910437,368,74
many people,3.5776671008897325,286,53
single room,3.6503349089783876,138,17
two bedroom,3.7555094553605364,155,20
first floor,3.8070636561175952,677,153
family living,4.296094959403245,309,51
lot people,4.367530835672061,187,22
two family,4.435437960289899,868,194
living room,4.857782488057108,266,35
one family,5.068971199986367,968,209
second floor,6.2069882978607085,667,112
family home,6.819662747242233,2281,523
family house,7.266106295867586,1482,297
people living,8.13000447415305,1013,161
