geo,month,active_jobs,monitoring_events,monitoring_per_100_jobs,ecb_site_safety,ecb_cranes,idx_active_jobs_2020avg100,idx_monitoring_2020avg100
Bronx,2025-06,11044,113,1.0231800072437522,3,3,650.3165022817607,89.80132450331126
Bronx,2025-07,11111,145,1.3050130501305013,6,3,654.2617400264978,115.2317880794702
Bronx,2025-08,10970,138,1.2579762989972652,6,2,645.9590755189165,109.66887417218543
Bronx,2025-09,10936,139,1.2710314557425018,4,1,643.9570145738261,110.4635761589404
Bronx,2025-10,10860,95,0.8747697974217311,7,2,639.4818195200943,75.49668874172187
Bronx,2025-11,10765,125,1.1611704598235022,4,4,633.8878257029295,99.33774834437087
Bronx,2025-12,10843,203,1.8721755971594578,7,2,638.4807890475489,161.3245033112583
Bronx,2026-01,10586,203,1.9176270546004157,13,0,623.3475636684823,161.3245033112583
Bronx,2026-02,10333,161,1.5581147778960611,4,2,608.4498748711909,127.94701986754968
Bronx,2026-03,10320,162,1.5697674418604652,9,1,607.6843809804211,128.74172185430464
Bronx,2026-04,10256,143,1.3943057722308891,0,0,603.9157956720153,113.64238410596026
Bronx,2026-05,10148,134,1.3204572329523059,0,0,597.5563079640807,106.49006622516556
Brooklyn,2020-01,760,571,75.13157894736841,46,23,18.136260589428467,156.33127994524298
Brooklyn,2020-02,1554,492,31.66023166023166,60,14,37.08388020522611,134.70225872689937
Brooklyn,2020-03,2302,459,19.93918331885317,65,39,54.93377878534781,125.66735112936345
Brooklyn,2020-04,2353,214,9.094772630684233,10,7,56.15081732490156,58.59000684462696
Brooklyn,2020-05,2580,201,7.790697674418605,19,14,61.56783200095454,55.03080082135524
Brooklyn,2020-06,3511,265,7.5477072059242385,40,21,83.78475122300442,72.55304585900069
Brooklyn,2020-07,4390,465,10.592255125284739,22,17,104.76076840472497,127.31006160164272
Brooklyn,2020-08,5263,418,7.9422382671480145,57,13,125.59360458179214,114.44216290212184
Brooklyn,2020-09,6004,421,7.0119920053297795,49,13,143.27645865648492,115.26351813826146
Brooklyn,2020-10,6733,322,4.78241497103817,32,16,160.67295072187088,88.15879534565366
Brooklyn,2020-11,7249,225,3.1038763967443783,27,6,172.9865171220618,61.601642710472284
Brooklyn,2020-12,7587,330,4.349545274812179,36,16,181.05238038420237,90.34907597535934
Brooklyn,2021-01,8106,308,3.7996545768566494,15,4,193.43753728671996,84.32580424366873
Brooklyn,2021-02,8534,278,3.2575580032809937,17,16,203.65111561866124,76.11225188227242
Brooklyn,2021-03,9307,387,4.158160524336521,17,12,222.0976017181721,105.95482546201231
