word,z,n_large,n_small
already,-3.9848871550817515,385,1522
stucco,-3.98076955280077,4,96
cook,-3.961373420639755,27,192
basment,-3.959369031126033,4,95
causing,-3.9554475683490913,1065,3846
separated,-3.941606397175763,17,147
historic,-3.9411914794356186,5,96
amount,-3.9408754802945825,201,862
exceed,-3.934698936686014,27,191
area,-3.9333629883625796,1156,4149
piled,-3.9285199905067425,14,133
demolish,-3.9203031572082945,7,102
unto,-3.915010115393989,11,119
potential,-3.914923899439838,107,511
celler,-3.9059363568577656,2,102
expanding,-3.893798231575706,4,92
wash,-3.882342054661067,30,202
box,-3.8683891581102947,99,478
livable,-3.8636002729226577,8,104
alter,-3.862374354142055,6,96
connected,-3.848088110028898,169,739
knocked,-3.846029576340418,49,280
enclosure,-3.8432462415848296,18,148
aresidential,-3.8358499078424946,26,183
mansion,-3.8330665027833746,2,97
multi,-3.8294233247441563,93,453
drink,-3.828274566976971,15,134
liquor,-3.807982222935004,8,102
allow,-3.8040659411814226,193,824
hotel,-3.7962014072459054,156,688
mini,-3.7709619581596585,13,123
dig,-3.7685843776936796,5,89
exemption,-3.756344950005474,6,92
bigger,-3.7411121770546183,31,201
flooded,-3.7355230653354203,89,433
joist,-3.729130473112266,6,91
removing,-3.723252305250878,124,565
trespassing,-3.7195745994232534,21,157
possibly,-3.71853048093094,151,665
subdivision,-3.7168009399618613,5,87
new,-3.7140871405777256,1510,5299
slope,-3.711418635984545,9,103
pose,-3.7091099730109116,80,397
touching,-3.696463935558057,14,125
soil,-3.6805306395836537,32,203
paver,-3.6753922620228487,2,87
padlock,-3.6520834203487165,9,101
consent,-3.6517256239145994,13,119
growing,-3.6505515168294247,22,159
pulled,-3.638471784820864,30,193
alcohol,-3.638471784820864,30,193
accessed,-3.6368823025267125,5,84
firstfloor,-3.6345371917683,8,96
rainwater,-3.6337430153591295,4,81
width,-3.621989545486294,9,100
caused,-3.620650902147262,265,1070
runoff,-3.6140556597675473,7,91
zillow,-3.6116956360767105,3,79
himself,-3.6111033455004966,23,162
familyhouse,-3.6086676486731237,1,116
ilegal,-3.6083889191763614,4,80
quarter,-3.592127572714113,22,157
fit,-3.5881399996294685,34,208
city,-3.5875214931229267,577,2150
drainpipe,-3.574379263312726,8,94
livingthere,-3.5662889609613555,3,77
previously,-3.5567051429254066,170,725
erected,-3.5340980468920806,143,625
extremely,-3.5292862771367717,344,1341
carport,-3.5172228464190476,2,78
renovating,-3.5114334635769904,95,445
bath,-3.5084633045546596,42,238
remodeled,-3.503734423753208,4,76
may,-3.5008572242103475,743,2705
complete,-3.499881688204874,97,452
mean,-3.499881688204874,97,452
intoa,-3.497221872111636,5,79
beenconverted,-3.4853832023394116,1,103
dot,-3.476063758350631,29,183
deed,-3.4718460858319613,3,73
gambling,-3.4682490794163683,5,78
permitsposted,-3.4545927836706647,24,161
staying,-3.449682609777403,80,385
woodhaven,-3.4493461186425978,4,74
rebuilt,-3.4493461186425978,4,74
mosquitoe,-3.439639223040422,6,81
bakery,-3.438909189765485,5,77
underpinning,-3.422677356140003,3,71
construct,-3.408792291513442,6,80
basin,-3.407170662635196,17,129
theyare,-3.398157318663514,64,321
ford,-3.3861720704754963,10,97
illegalconversion,-3.379090545576639,5,75
coned,-3.377567216596653,6,79
seller,-3.3721128053936797,3,69
unstable,-3.371228418022873,211,861
ridgewood,-3.368583177243911,1,92
toilet,-3.360888692715051,98,449
collapsed,-3.3550420219632255,55,284
chinese,-3.3511315785682227,19,136
prospect,-3.348592099822711,5,74
beer,-3.3459547566778163,6,78
makeshift,-3.3385330489115055,15,118
obstructing,-3.3384643775565896,34,199
port,-3.3362167402549154,11,100
nail,-3.330689849423716,111,496
assembly,-3.324538529366547,16,122
card,-3.3235110474306593,41,227
filled,-3.322684782795524,86,402
encroachment,-3.3185887439122475,2,68
window,-3.3181070825401653,2190,7475
