word,z,n_agency,n_caller
rid,-3.5793504540766374,1,176
doorway,-3.57883615044791,29,286
dance,-3.5783385136657246,4,121
lenox,-3.5783385136657246,4,121
weight,-3.5777468688994425,54,444
wild,-3.574922082428792,3,119
mailboxe,-3.574304790374575,6,131
encroachment,-3.574304790374575,6,131
swaying,-3.5715227714684925,2,125
thefirst,-3.5715227714684925,2,125
interfering,-3.568630245747899,7,137
pharmacy,-3.5676572802866833,1,174
auto,-3.5632314664055262,140,949
faucet,-3.559988871921592,2,124
attendant,-3.559988871921592,2,124
withno,-3.556740125397804,16,198
manage,-3.5558312304262087,1,172
buzzer,-3.5558312304262087,1,172
planted,-3.5558312304262087,1,172
notbeen,-3.549867404265274,1,171
greene,-3.549867404265274,1,171
donewithout,-3.549867404265274,1,171
visual,-3.5490848313048193,7,136
route,-3.5458172597758013,11,163
doorbell,-3.5438691781210063,1,170
flammable,-3.537860806354223,39,348
anybody,-3.537836143762248,1,169
slam,-3.537836143762248,1,169
pitch,-3.537836143762248,1,169
concert,-3.5366398776284966,2,122
bergen,-3.536239363040146,6,129
moisture,-3.536239363040146,6,129
intoa,-3.5325808720564544,5,123
residental,-3.5325808720564544,5,123
commercialbuilding,-3.5300559859131178,3,116
rescue,-3.5300559859131178,3,116
destroy,-3.5248216992644346,2,121
divider,-3.5248216992644346,2,121
determine,-3.5233962677280855,31,296
livingin,-3.519523998695152,1,166
crowd,-3.519523998695152,1,166
chipping,-3.516337513974176,16,196
buildingthat,-3.514843145725751,3,115
advertisement,-3.514787758564471,37,334
infrastructure,-3.514114960399422,5,122
expansion,-3.5129056139354016,2,120
license,-3.5117613720517205,598,3430
venue,-3.510662137732139,14,182
language,-3.510213223109195,4,117
traveling,-3.510213223109195,4,117
neglected,-3.507134040490618,1,164
updated,-3.5049079392997755,31,295
release,-3.5048073764158256,11,161
photograph,-3.500889982311037,2,119
timer,-3.500889982311037,2,119
doorman,-3.500883163280501,1,163
lowered,-3.5002875774847935,9,147
improperly,-3.5001005964926852,121,835
thestair,-3.49758783117644,6,127
ply,-3.49758783117644,6,127
sufficient,-3.496286580499029,8,140
country,-3.494594405992878,1,162
manufacturing,-3.4938782423602883,20,222
riding,-3.4928203613810553,4,116
greenwich,-3.488773123686578,2,118
laid,-3.488773123686578,2,118
climbing,-3.4886598546277647,33,307
mind,-3.4882672968921082,1,161
compressor,-3.4858987287066796,12,167
emailed,-3.4840177728748074,3,113
theside,-3.4840177728748074,3,113
foster,-3.481901355400305,1,160
paver,-3.479857598519029,21,228
verified,-3.4765533145819223,2,117
acommercial,-3.4765533145819223,2,117
relative,-3.4765533145819223,2,117
schedule,-3.4761524499354777,28,274
constructionsite,-3.472242474328653,15,187
inappropriate,-3.4684005397603372,3,112
preparing,-3.464228787281085,2,116
typically,-3.462565593452985,1,157
ear,-3.4578053149592023,5,119
marshall,-3.4575834103508285,4,114
myrtle,-3.4575834103508285,4,114
thin,-3.456039331851129,1,156
litter,-3.456039331851129,1,156
thewall,-3.456039331851129,1,156
seat,-3.4526437044293155,3,111
boxe,-3.452043816765823,129,877
arriving,-3.4494716943110113,1,155
hudson,-3.4491918470106095,7,131
dealership,-3.442358449867766,11,158
brothel,-3.439258276841162,2,114
hillside,-3.4367447571307874,3,110
attorney,-3.436210126661468,1,153
reconstructed,-3.436210126661468,1,153
remained,-3.4346548076281893,8,137
torch,-3.434336132249353,16,192
loitering,-3.4295150875129115,1,152
slowly,-3.4295150875129115,1,152
contaminated,-3.4295150875129115,1,152
problematic,-3.4266085230467684,2,113
misleading,-3.4266085230467684,2,113
mexican,-3.4266085230467684,2,113
vinyl,-3.423144442702357,12,164
river,-3.422776453784263,1,151
bulldozer,-3.422776453784263,1,151
theground,-3.4217272995614976,4,112
floating,-3.4207011201550412,3,109
cease,-3.4194384452830366,10,150
busted,-3.4159936430096574,1,150
unnecessary,-3.4159936430096574,1,150
game,-3.4138465063546817,2,112
among,-3.409166061004132,1,149
plug,-3.406786662025308,14,177
columbia,-3.40451014536633,3,108
inoperative,-3.4035602287024327,4,111
fruit,-3.4009702136453557,2,111
hardhat,-3.4000744704139105,5,116
storybuilding,-3.39537414605767,1,147
realized,-3.39537414605767,1,147
mounted,-3.3889199529699576,15,183
honda,-3.3884085632524528,1,146
generating,-3.3879775773603686,2,110
wrapped,-3.3874456028075595,7,128
sharp,-3.3856742505161903,14,176
harlem,-3.3852300260416186,4,110
compromise,-3.382954176395785,13,169
david,-3.381395708800198,1,145
ihave,-3.381395708800198,1,145
thegarage,-3.380502585200733,5,115
ice,-3.3788738319511364,74,552
nightclub,-3.378752217960647,11,155
timeline,-3.374866473526534,2,109
religiou,-3.374866473526534,2,109
transient,-3.374774681087363,9,141
theowner,-3.3716752220777937,3,106
rise,-3.367698507631876,53,425
deny,-3.3672255401974627,1,143
gated,-3.366548097387488,7,127
joseph,-3.361634719689712,2,108
flew,-3.3607618930199816,5,114
speaker,-3.3600668688171873,1,142
quick,-3.3600668688171873,1,142
thank,-3.35599782400843,0,2500
inaccessible,-3.355025601355037,3,105
transport,-3.348280072753352,2,107
federal,-3.348280072753352,2,107
length,-3.347345421187947,47,387
freeze,-3.3455988501061995,1,140
managed,-3.338288056825882,1,139
landmarked,-3.336744621998291,6,119
pond,-3.3348002267164323,2,106
expressway,-3.3348002267164323,2,106
intermittent,-3.3348002267164323,2,106
throat,-3.3348002267164323,2,106
arrival,-3.3317803284465937,9,139
