term,estimate,std_error,t_value,pr(>|t|),25pct,975pct,model,outcome,n
sg_nepali_himalayan,0.2492936204506443,0.25076963085435944,0.9941140783328251,0.3201673321266483,-0.24220582444030464,0.7407930653415933,ppml_n_ecb_2020on,ECB citations,458649
sg_sikh_punjabi,0.42027294917769414,0.17350112776427037,2.4223067284536826,0.015422327009213088,0.08021698748264172,0.7603289108727466,ppml_n_ecb_2020on,ECB citations,458649
sg_singh,0.521507181328191,0.1018286529735754,5.121418835458055,3.03245259347662e-07,0.3219266889057556,0.7210876737506263,ppml_n_ecb_2020on,ECB citations,458649
sg_vietnamese,-0.007492074821523675,0.17488337932175688,-0.04284040513500988,0.9658287548999371,-0.35025719978682407,0.3352730501437767,ppml_n_ecb_2020on,ECB citations,458649
sg_asian_small,-0.38187588241728904,0.4075493268430061,-0.9370053077388425,0.3487558276841314,-1.1806578849531242,0.41690612011854616,ppml_n_ecb_2020on,ECB citations,458649
asian_uncl,0.0948273117478964,0.050373269701975684,1.8824926852857675,0.0597691521102377,-0.0039024826514986732,0.19355710614729146,ppml_n_ecb_2020on,ECB citations,458649
black_c,0.039899365623555956,0.055740825552877765,0.715801483523167,0.47411393626130205,-0.06935064492861442,0.14914937617572635,ppml_n_ecb_2020on,ECB citations,458649
hisp_c,0.009680395310411776,0.05234992459378465,0.1849170822217593,0.8532940723762283,-0.09292357148679378,0.11228436210761733,ppml_n_ecb_2020on,ECB citations,458649
mixed_uncertain,0.04421928414455736,0.046086870396069436,0.9594768263615626,0.33731858842640783,-0.04610932199190398,0.13454789028101868,ppml_n_ecb_2020on,ECB citations,458649
owner_occ_star,-0.17193876181509835,0.03186243515877539,-5.396284400683789,6.80350760173809e-08,-0.23438798718604087,-0.10948953644415581,ppml_n_ecb_2020on,ECB citations,458649
era_pre1940,0.3630212792502664,0.05416314963643309,6.702366492477359,2.050715153245619e-11,0.2568634566736038,0.469179101826929,ppml_n_ecb_2020on,ECB citations,458649
era_4079,0.07623847962227406,0.05350298639446578,1.4249387699629414,0.15417490133432654,-0.02862544677621541,0.18110240602076355,ppml_n_ecb_2020on,ECB citations,458649
era_8099,-0.3999962991543068,0.08124705892818972,-4.923209583596667,8.513618678929191e-07,-0.5592376085033621,-0.24075498980525145,ppml_n_ecb_2020on,ECB citations,458649
