outcome,outcome_label,conv_def,conv_def_label,term,b,se,t,p,ci_lo,ci_hi,irr,irr_lo,irr_hi,n_obs,n_jobs_sample,n_events,fe,offset,cluster,window,unit
n_caller_incident,"caller placebo: construction-incident complaints (mixed_incident, agency=0)",conversion_ge10,non-residential-to-residential conversion (10+ units),conversion_ge10,0.7555322094407995,0.22158094908079323,3.4097345127144303,0.0006502614550922825,0.32124152958224106,1.1898228892993579,2.128744159667516,1.3788385709826838,3.2864990816792785,347866,406769,26471,nta^first_permit_quarter,log(active months),bbl,2020-01..2026-05,base project (Critic B collapse)
n_caller_incident,"caller placebo: construction-incident complaints (mixed_incident, agency=0)",conversion_ge10,non-residential-to-residential conversion (10+ units),log_cost,0.038949367614509914,0.005624581471958801,6.924847263514794,4.364508754406415e-12,0.02792539050135938,0.04997334472766045,1.0397178389229838,1.028318959197257,1.05124307483211,347866,406769,26471,nta^first_permit_quarter,log(active months),bbl,2020-01..2026-05,base project (Critic B collapse)
n_caller_incident,"caller placebo: construction-incident complaints (mixed_incident, agency=0)",conversion_ge10,non-residential-to-residential conversion (10+ units),log_floor,0.0407980568061569,0.007832904297721162,5.208547845787716,1.9032427700516052e-07,0.02544584648827441,0.05615026712403938,1.0416417318462567,1.0257723555910396,1.0577566178399234,347866,406769,26471,nta^first_permit_quarter,log(active months),bbl,2020-01..2026-05,base project (Critic B collapse)
n_caller_incident,"caller placebo: construction-incident complaints (mixed_incident, agency=0)",conversion_ge10,non-residential-to-residential conversion (10+ units),floor_missing,-1.2213060625078114,0.15455191301838936,-7.902238404273225,2.6645352591003757e-15,-1.5242222457656216,-0.918389879250001,0.294844829563935,0.21779037840043497,0.3991612217172779,347866,406769,26471,nta^first_permit_quarter,log(active months),bbl,2020-01..2026-05,base project (Critic B collapse)
n_caller_incident,"caller placebo: construction-incident complaints (mixed_incident, agency=0)",conversion_ge10,non-residential-to-residential conversion (10+ units),jt_new_building,0.6426793050720954,0.07978845585068024,8.054790611248759,8.881784197001252e-16,0.4862968052226979,0.7990618049214928,1.9015689433380942,1.6262826137594408,2.223453916111796,347866,406769,26471,nta^first_permit_quarter,log(active months),bbl,2020-01..2026-05,base project (Critic B collapse)
n_caller_incident,"caller placebo: construction-incident complaints (mixed_incident, agency=0)",conversion_ge10,non-residential-to-residential conversion (10+ units),jt_alteration_co,0.32517652942496866,0.0628345486498304,5.175123183221057,2.2776066188612276e-07,0.20202307708647116,0.44832998176346617,1.3842749896811173,1.2238762512835526,1.565695261303588,347866,406769,26471,nta^first_permit_quarter,log(active months),bbl,2020-01..2026-05,base project (Critic B collapse)
n_caller_incident,"caller placebo: construction-incident complaints (mixed_incident, agency=0)",conversion_ge10,non-residential-to-residential conversion (10+ units),jt_altco_existing,1.1853223096228305,0.08879184875840317,13.349449596978381,0.0,1.0112934839356327,1.3593511353100283,3.2717411652052144,2.7491547036476023,3.893666019557149,347866,406769,26471,nta^first_permit_quarter,log(active months),bbl,2020-01..2026-05,base project (Critic B collapse)
n_caller_incident,"caller placebo: construction-incident complaints (mixed_incident, agency=0)",conversion_ge10,non-residential-to-residential conversion (10+ units),jt_full_demolition,1.6818853765428663,0.11904628051570812,14.127996013457489,0.0,1.448558954238626,1.9152117988471067,5.375681606807946,4.2569755963602915,6.788376415049449,347866,406769,26471,nta^first_permit_quarter,log(active months),bbl,2020-01..2026-05,base project (Critic B collapse)
n_caller_incident,"caller placebo: construction-incident complaints (mixed_incident, agency=0)",conversion_office,office/store-class conversion (relaxed + PLUTO class O/K),conversion_office,0.5947763107164539,0.31555815611450316,1.8848389724416879,0.05945158150302965,-0.02370631029584036,1.213258931728748,1.8126254347228696,0.9765724769274048,3.364431257515886,347866,406769,26471,nta^first_permit_quarter,log(active months),bbl,2020-01..2026-05,base project (Critic B collapse)
n_caller_incident,"caller placebo: construction-incident complaints (mixed_incident, agency=0)",conversion_office,office/store-class conversion (relaxed + PLUTO class O/K),log_cost,0.03936055133751725,0.0056298950172688975,6.991347301643173,2.722488900985809e-12,0.028326159866928706,0.050394942808105796,1.0401454418805327,1.028731160527453,1.051686370334241,347866,406769,26471,nta^first_permit_quarter,log(active months),bbl,2020-01..2026-05,base project (Critic B collapse)
