Coefficient,Estimate,Std. Error,t value,Pr(>|t|),2.5%,97.5%,contrast,outcome,arms_length
C(event_t)[T.2],-0.28205225061049066,338.4755460383233,-0.0008333017079424574,0.9993351314628907,-663.7300167446017,663.1659122433807,A->W vs A->A,n_ecb,False
C(event_t)[T.3],-0.3334274677670862,394.88801463177873,-0.0008443595536268614,0.9993263087137256,-774.3558127684291,773.6889578328949,A->W vs A->A,n_ecb,False
C(event_t)[T.4],-0.3849687603855637,451.29995445970144,-0.000853021934926739,0.9993193972393821,-884.9807384312003,884.210800910429,A->W vs A->A,n_ecb,False
event_t::-4:treat,-0.0009510492097364038,0.005531167389143322,-0.17194366809493797,0.8634838990529143,-0.0117927238552282,0.009890625435755392,A->W vs A->A,n_viol,False
event_t::-3:treat,-0.0007242538379794549,0.004512621301239872,-0.16049515118418234,0.8724929821285634,-0.009569470137596093,0.008120962461637184,A->W vs A->A,n_viol,False
event_t::-2:treat,0.0053513574117424806,0.005371489495243159,0.9962520482412733,0.3191421307002824,-0.0051773316283704384,0.0158800464518554,A->W vs A->A,n_viol,False
event_t::0:treat,0.004829385573469152,0.005133983311152925,0.9406702906450681,0.34688745433163715,-0.005233766159048849,0.014892537305987153,A->W vs A->A,n_viol,False
event_t::1:treat,0.00995871446443108,0.006124210701541387,1.6261221159364418,0.10394254826027005,-0.0020453879637245837,0.021962816892586744,A->W vs A->A,n_viol,False
event_t::2:treat,0.012246625785098428,0.0059477041512403395,2.059050933551311,0.03950483039581254,0.000588494913493047,0.02390475665670381,A->W vs A->A,n_viol,False
event_t::3:treat,0.010361471804433179,0.005484893040535843,1.889092773160244,0.0588967081984324,-0.00038950021053995275,0.021112443819406308,A->W vs A->A,n_viol,False
event_t::4:treat,0.007289522091769274,0.005354166201121233,1.3614672794884015,0.17338443470272713,-0.003205211454784234,0.017784255638322782,A->W vs A->A,n_viol,False
C(event_t)[T.-3],-0.0468963447718886,29.730412221022245,-0.0015773862946551545,0.9987414471917746,-58.32165711396261,58.22786442441883,A->W vs A->A,n_viol,False
C(event_t)[T.-2],-0.09172857718561324,59.4608855932038,-0.0015426708881056009,0.9987691456303232,-116.64136997832418,116.45791282395294,A->W vs A->A,n_viol,False
C(event_t)[T.-1],-0.13860316512162385,89.19146281494884,-0.0015539958730040407,0.9987601097458221,-174.9633287543654,174.68612242412215,A->W vs A->A,n_viol,False
C(event_t)[T.0],-0.18003520403222542,118.92187292549865,-0.0015138947916251927,0.9987921052629001,-233.27951742571693,232.91944701765246,A->W vs A->A,n_viol,False
C(event_t)[T.1],-0.22538489281490928,148.65219484324888,-0.001516189472026119,0.9987902744023458,-291.59945087970084,291.148681094071,A->W vs A->A,n_viol,False
C(event_t)[T.2],-0.271472731226419,178.38271226663716,-0.001521855609082991,0.9987857535519629,-349.92050569509684,349.377560232644,A->W vs A->A,n_viol,False
C(event_t)[T.3],-0.32026186361170067,208.11294470206212,-0.001538884878449982,0.9987721663801676,-408.24370319783645,407.6031794706131,A->W vs A->A,n_viol,False
C(event_t)[T.4],-0.36535254468175365,237.84386733987884,-0.0015361024388308693,0.9987743864099226,-466.5645551191425,465.833850029779,A->W vs A->A,n_viol,False
event_t::-4:treat,-0.00888449387914849,0.0066779669261968185,-1.3304189699256739,0.1833949701391253,-0.021973836310970794,0.004204848552673814,W->A vs W->W,n_comp,True
event_t::-3:treat,-0.004342696151243069,0.006618519123480433,-0.656143174964403,0.5117393231536687,-0.01731551619606138,0.008630123893575238,W->A vs W->W,n_comp,True
event_t::-2:treat,-0.0029365298117736763,0.006486870059947326,-0.4526882432723681,0.6507780056943164,-0.015651307297762637,0.009778247674215286,W->A vs W->W,n_comp,True
event_t::0:treat,0.11017698613237904,0.016069268870503185,6.856378284554089,7.262412893282999e-12,0.07867995040284938,0.1416740218619087,W->A vs W->W,n_comp,True
event_t::1:treat,0.08485995886304629,0.012758085100320525,6.651465184294336,2.974576140957197e-11,0.05985310475639814,0.10986681296969443,W->A vs W->W,n_comp,True
event_t::2:treat,0.03139878741570659,0.011658100174743311,2.6933022486571603,0.007080526650269814,0.008547990612103918,0.05424958421930927,W->A vs W->W,n_comp,True
event_t::3:treat,0.006722962126337911,0.009078102695276955,0.7405690761612173,0.4589631901730731,-0.011070835914737759,0.02451676016741358,W->A vs W->W,n_comp,True
event_t::4:treat,0.016320824823015858,0.009144524146710669,1.7847648014453044,0.07431416064879537,-0.0016031645071516963,0.03424481415318341,W->A vs W->W,n_comp,True
C(event_t)[T.-3],0.013502594483889302,27.454736577741063,0.000491812931646794,0.9996075948250063,-53.7999487767394,53.826953965707176,W->A vs W->W,n_comp,True
C(event_t)[T.-2],0.03387613437832773,54.90935843584638,0.0006169464612832271,0.9995077539386923,-107.59280174852454,107.6605540172812,W->A vs W->W,n_comp,True
C(event_t)[T.-1],0.053977069373007995,82.36423808778186,0.000655345944139986,0.9994771159615714,-161.38643262147056,161.4943867602166,W->A vs W->W,n_comp,True
C(event_t)[T.0],0.1389924390605775,109.819304030916,0.0012656466937857188,0.9989901725476891,-215.11551420518165,215.39349908330283,W->A vs W->W,n_comp,True
C(event_t)[T.1],0.18089261158886602,137.27561782387576,0.0013177329991765235,0.9989486142269608,-268.89015687023374,269.2519420934115,W->A vs W->W,n_comp,True
