word,z,n_strict,n_lenient
kitchen,0.3887000218590198,198,120
truck,0.3984437008843463,101,60
unable,0.42626635436851096,331,202
meeting,0.43735203651188553,100,59
having,0.4426768157379754,59,34
ventilation,0.4489502806644629,92,54
shaking,0.4632565297459981,177,106
column,0.49451428723366814,96,56
neighboring,0.5234457017487884,70,40
smoke,0.5352701356915637,95,55
foundation,0.5524894433975348,205,122
free,0.6862962647294809,57,31
answer,0.7100760087104991,59,32
leaking,0.7435662155798122,56,30
fallen,0.7665004031538518,58,31
detached,0.7922300556574351,89,49
obtained,0.7986134834511135,391,232
shall,0.8209206377862353,69,37
cable,0.8372987410424707,88,48
remove,0.8789194361766602,254,147
danger,0.9130173319215683,96,52
const,0.9223654424472699,125,69
siding,0.9662509679620106,90,48
living,0.9668358192419705,102,55
hrp,1.001615803651894,61,31
replaced,1.0047917529711452,135,74
amend,1.0062336880722442,54,27
framing,1.0191934182354585,70,36
cse,1.0196725243149178,211,119
may,1.0736431804046098,69,35
until,1.0782149346482612,62,31
demolition,1.1003761577649875,437,254
start,1.1188187771011067,108,57
altered,1.1291966955554962,68,34
plywood,1.1614415088334549,107,56
chimney,1.1738000915909275,102,53
glass,1.1738000915909275,102,53
air,1.2641356722540003,114,59
vibrating,1.2977592151111157,132,69
observed,1.3084794102734636,13702,8536
drain,1.3301393179301988,78,38
performing,1.3633670202912567,64,30
bracing,1.3890766408743638,125,64
side,1.4229591304132492,652,377
defective,1.4369370477264694,166,87
result,1.4393125192706469,76,36
rendered,1.450527490904956,96,47
completely,1.4672335513698425,58,26
entry,1.4696748147860537,273,149
engineering,1.4837900679646685,73,34
walked,1.4876582713498427,118,59
drainage,1.4884561871979725,84,40
submitted,1.5185892747316816,138,70
main,1.5484409140456843,210,111
fixture,1.566827146425342,123,61
corrective,1.5831306962405214,100,48
bell,1.5869043611788403,91,43
occupancy,1.6094796373942681,683,391
pile,1.6604590271943385,83,38
joist,1.6704149092507738,85,39
continued,1.6742102550360731,125,61
approx,1.6816344853804324,494,276
way,1.7102187333996333,93,43
inspector,1.7131367195889413,448,248
amount,1.7231404327194553,69,30
heard,1.7469275083442883,75,33
wiring,1.7649530545133563,300,160
company,1.793222809557644,120,57
wrote,1.847363555778576,93,0
along,1.8537589804612784,287,151
painted,1.8596357453604535,88,39
large,1.8665808703093854,103,47
must,1.8675500919709818,90,40
