inspector_badge,total_cases,violation_rate,mean_severity,mean_comment_length,n_categories,top_category,n_boroughs,primary_unit,loo_strictness,no_access_rate
3474,71,0.8732394366197183,3.0985915492957745,56.394366197183096,3,Date,5,BROOKLYN CONSTRUCTION ENFORCEMENT,0.8732394366197183,0.08433734939759036
3476,667,0.20689655172413793,0.52023988005997,96.99550224887557,47,Date,5,MANHATTAN CONSTRUCTION ENFORCEMENT,0.20689655172413793,0.13892365456821026
3484,65,0.0,0.0,106.13846153846154,5,CONSTRUCTION IN PROGRESS : AFTER HOURS - NO SPECIAL PERMIT/VARIANCE,3,EMERGENCY RESPONSE TEAM,0.0,0.0
3485,848,0.2617924528301887,0.6733490566037735,156.88443396226415,11,WORK WITHOUT A PERMIT - OCCUPIED MULTIPLE DWELLING : CONSTRUCTION,5,REAL TIME ENFORCEMENT,0.2617924528301887,0.3817701453104359
3487,798,0.17543859649122806,0.39849624060150374,120.2468671679198,18,WORK WITHOUT A PERMIT - OCCUPIED MULTIPLE DWELLING : CONSTRUCTION,5,REAL TIME ENFORCEMENT,0.17543859649122806,0.33981337480559876
3489,1418,0.27221438645980256,0.5719322990126939,97.74612129760226,24,TENANT SAFETY INSPECTION : 72 HR NOTICE COMPLIANCE INSPECTION,5,BUILDING MARSHAL'S OFFICE,0.27221438645980256,0.016337644656228726
3493,1011,0.4589515331355094,1.1829871414441147,157.81998021760634,61,Date,5,EMERGENCY RESPONSE TEAM,0.4589515331355094,0.3118405627198124
3494,94,0.9042553191489362,3.1914893617021276,47.52127659574468,2,Date,4,MANHATTAN CONSTRUCTION ENFORCEMENT,0.9042553191489362,0.0
3495,262,0.05725190839694656,0.14122137404580154,119.61068702290076,8,LOCAL LAW 188/17 COMPLIANCE INSPECTIONS - ACTIVE JOBS : SWEEP,4,REAL TIME ENFORCEMENT,0.05725190839694656,0.16981132075471697
3496,548,0.26277372262773724,0.781021897810219,161.75,13,WORK WITHOUT A PERMIT - OCCUPIED MULTIPLE DWELLING : CONSTRUCTION,5,REAL TIME ENFORCEMENT,0.26277372262773724,0.33255542590431736
3497,586,0.06825938566552901,0.17235494880546076,131.15358361774744,10,LOCAL LAW 188/17 COMPLIANCE INSPECTIONS - ACTIVE JOBS : INITIAL,5,REAL TIME ENFORCEMENT,0.06825938566552903,0.3650465356773526
3591,36,0.1388888888888889,0.3055555555555556,65.02777777777777,11,PLUMBING WORK IN PAST : ILLEGAL/NO PERMIT - PLUMBING,3,PLUMBING DIVISION,0.1388888888888889,0.5421686746987951
3595,571,0.3922942206654991,0.7443082311733801,18.089316987740805,5,ELEVATOR : NOT WORKING : SINGLE DEVICE ON PROPERTY/NO ALTERNATE SERVICE,4,ELEVATOR DIVISION,0.3922942206654991,0.00667779632721202
3601,164,0.25609756097560976,0.5853658536585366,67.70121951219512,18,TENANT SAFETY INSPECTION : 72 HR NOTICE COMPLIANCE INSPECTION,5,BUILDING MARSHAL'S OFFICE,0.25609756097560976,0.21153846153846154
3602,1664,0.3317307692307692,0.5228365384615384,8.99579326923077,6,ELEVATOR : NOT WORKING : SINGLE DEVICE ON PROPERTY/NO ALTERNATE SERVICE,5,ELEVATOR DIVISION,0.3317307692307692,0.009190120620333142
3603,1270,0.3125984251968504,0.6960629921259842,80.46771653543307,35,TENANT SAFETY INSPECTION : 72 HR NOTICE COMPLIANCE INSPECTION,5,BUILDING MARSHAL'S OFFICE,0.3125984251968504,0.03720238095238095
3605,1605,0.5040498442367601,1.12398753894081,135.17757009345794,45,ILLEGAL CONVERSION : RESIDENTIAL SPACE,2,QUEENS CONSTRUCTION ENFORCEMENT,0.5040498442367602,0.32847533632286996
3607,1276,0.32601880877742945,0.6927899686520376,143.29545454545453,34,WORK WITHOUT PERMITS WATCH LIST COMPLIANCE : WATCH LIST COMPLIANCE INSPECTION,5,BUILDING MARSHAL'S OFFICE,0.32601880877742945,0.1699629171817058
3612,48,0.10416666666666667,0.25,106.35416666666667,5,WORK WITHOUT A PERMIT - OCCUPIED MULTIPLE DWELLING : CONSTRUCTION,4,REAL TIME ENFORCEMENT,0.10416666666666667,0.2222222222222222
3613,626,0.15495207667731628,0.33865814696485624,129.81150159744408,17,WORK WITHOUT A PERMIT - OCCUPIED MULTIPLE DWELLING : CONSTRUCTION,5,REAL TIME ENFORCEMENT,0.15495207667731628,0.2974413646055437
